⺁	{⺁} px
⺄	{乙} yi
⺈	. dk
⺋	. ee
⺌	. xc
⺗	. xn
⺧	. nq
⺻	. yv
⻊	. zu
⻗	. yu
〇	{〇} aa
の	{の} aa
㐀	一一 aa
㐁	一口 ak
㐂	七七 qq
㐄	丨一 aa
㐅	丿丶 pd
㐆	丿𠃌 pg
㐌	𠂉也 ry
㐎	文乙 wy
㐖	吉乚 jg
㐜	求九 qj
㐡	九耎 jr
㐤	九真 jv
㐧	丶丿 dp
㐨	予予 yy
㐩	井井 jj
㐪	亠丶 wd
㐫	亠凶 wx
㐬	亠川 wi
㐭	亠回 wh
㐮	亠𧘇 wd
㐯	亠香 wx
㐰	亻口 rk
㐱	人彡 rp
㐲	亻大 rd
㐳	亻兀 rw
㐴	亻夕 rx
㐵	亻于 ry
㐶	亻巳 rs
㐷	亻马 rm
㐸	亻欠 rq
㐹	亻气 rq
㐺	亻人 rr
㐻	亻内 rn
㐼	亻升 ru
㐽	亻风 rf
㐾	亻元 ry
㑀	亻太 rt
㑁	亻出 ri
㑂	亻丙 rb
㑃	亻幼 ry
㑄	亻母 rm
㑅	亻一 ra
㑆	亻兄 rx
㑇	亻刍 ri
㑈	亻东 rd
㑉	亻夙 rs
㑊	亻亦 ry
㑋	亻曲 rq
㑌	亻匡 rk
㑍	亻耒 rl
㑎	亻山 ru
㑏	亻守 ru
㑐	亻尗 ru
㑑	亻自 rz
㑒	人丶 rd
㑓	亻友 ry
㑔	亻页 ry
㑕	亻岁 rs
㑖	亻仲 rv
㑗	亻身 ru
㑘	亻戒 rj
㑙	. rv
㑚	亻那 rn
㑛	亻束 ru
㑜	亻折 rv
㑝	亻弄 rn
㑞	. rv
㑟	亻兵 rb
㑠	亻坚 rj
㑡	亻即 rj
㑢	亻却 rq
㑣	亻林 rl
㑤	亻苗 rm
㑥	亻易 ry
㑦	亻戾 rl
㑧	亻季 rj
㑨	亻矢 ru
㑩	亻罗 rl
㑪	. rj
㑫	亻念 rn
㑬	亻姑 rg
㑭	. rc
㑮	亻軍 rj
㑯	亻頁 ry
㑰	. rh
㑱	亻柔 rr
㑲	亻南 rn
㑳	亻芻 ri
㑴	亻又 ry
㑵	亻疾 rj
㑶	亻氣 rq
㑷	亻能 rn
㑸	亻可 rk
㑹	人日 ro
㑺	亻隽 rj
㑻	亻密 rm
㑼	亻略 rl
㑽	亻堂 rt
㑾	亻言 ry
㑿	亻巢 ri
㒀	. rd
㒁	亻圉 ry
㒂	亻著 rv
㒃	亻貳 re
㒄	亻然 rr
㒅	. ri
㒆	. rh
㒇	亻無 rw
㒈	亻敢 rg
㒉	亻棠 rt
㒊	. rs
㒋	亻斯 rs
㒌	亻煢 rq
㒍	. rl
㒎	. rz
㒏	亻寒 rh
㒐	亻筍 rs
㒑	亻匯 rh
㒒	亻業 ry
㒓	亻達 rd
㒔	亻蜀 ru
㒕	亻雍 ry
㒖	亻萬 rw
㒗	. rt
㒘	. ru
㒙	亻綿 rm
㒚	. ry
㒛	. rv
㒜	亻與 ry
㒝	亻蔑 rm
㒞	. rs
㒟	. rn
㒠	亻韭 rj
㒡	亻繇 ry
㒢	. rl
㒣	亻應 ry
㒤	亻聶 rn
㒥	亻豐 rf
㒦	亻壘 rl
㒧	亻離 rl
㒨	. rs
㒩	亻蠡 rl
㒪	人豕 ru
㒫	厂兀 iw
㒬	元王 yw
㒭	兄兄 xx
㒮	元豕 yu
㒯	光華 gh
㒰	入工 rg
㒱	入夕 rx
㒲	入日 ro
㒳	冂入 kr
㒴	入出 ri
㒵	八白 bb
㒶	八白 bb
㒷	冂八 kb
㒸	丷豕 bu
㒹	真真 vv
㒺	. ka
㒻	. mj｜. oj
㒼	廿入 cr
㒽	. mj｜. oj
㒾	. mu｜. ou
㒿	. ml｜. ol
㓀	冖卜 bb
㓁	. br
㓂	冖女 bn
㓃	冖託 bt
㓄	. cy
㓅	冫丁 dd
㓆	冫仑 dl
㓇	冫夭 dy
㓈	冫石 du
㓉	冫舌 du
㓊	冫同 dt
㓋	冫共 dg
㓌	冫全 dq
㓍	冫充 di
㓎	. dj
㓏	冫冏 dj
㓐	. dl
㓑	冫幸 dx
㓒	冫心 dx
㓓	冫南 dn
㓔	冫射 du
㓕	冫火 dh
㓖	冫畢 db
㓗	冫絜 dj
㓘	. jy
㓙	凵文 kw
㓚	刂工 dg
㓛	工刀 gd
㓜	刀幺 dy
㓝	刂井 dj
㓞	刀丰 df
㓟	刂皮 dp
㓠	刂占 dv
㓡	刂缶 df
㓢	刂各 dg
㓣	刂合 dh
㓤	刂吉 dj
㓥	当刂 dd
㓦	刂百 db
㓧	刂含 dh
㓨	刂夾 dj
㓩	刂角 dj
㓪	丶刀 dd｜良刀 ld
㓫	刂开 dk
㓬	刂券 dq
㓭	刂曷 dh
㓮	刂周 dv｜周刂 vd
㓯	刂甾 dz
㓰	刂画 dh
㓱	刂俞 dy
㓲	刂扁 db
㓳	刂是 du
㓴	. dr
㓵	. de
㓶	刂契 dq
㓷	. dg
㓸	. dd｜. da
㓹	. di
㓺	刂虔 dq
㓻	刂罡 dg
㓼	. dq
㓽	刂崇 di
㓾	刂犀 dx
㓿	刂水 du
㔀	刂景 dj
㔁	登刂 dd
㔂	. dl
㔃	. dj
㔄	刂粟 ds
㔅	刂肅 ds
㔆	. dc
㔇	刂發 df
㔈	刂菲 df
㔉	刂属 du
㔊	刂亶 dd
㔋	刂監 dj
㔌	刂聚 dj
㔍	刂算 ds
㔎	刀辛 dx
㔏	刂磊 dl
㔐	刂韭 dj
㔑	刀薛 dx
㔒	. ds
㔓	力千 lq
㔕	力气 lq｜. lr
㔗	力弗 lf
㔘	力出 li
㔙	力并 lb
㔚	力舌 lu
㔜	力孚 lf
㔝	力兩 ll
㔞	力乖 lg
㔟	力丸 lw
㔠	力曷 lh
㔡	. lp
㔢	. lj
㔣	. ll
㔤	力審 lu
㔥	力罷 lb
㔦	力養 ly
㔧	盧力 ll
㔨	勹背 gb
㔩	. gg
㔪	. gl
㔫	. ub
㔬	匕早 bz
㔭	匕是 bu
㔮	𦰩能 hn
㔯	匚口 kk｜. ky
㔰	匚外 kw
㔱	匚臾 ky
㔲	匚九 kj
㔳	匚飢 kj
㔴	匚異 ky
㔵	. ks
㔶	匚贛 kg
㔷	匚丙 kb
㔸	匚虒 ks
㔹	十力 ul
㔺	. uu
㔻	不十 bu
㔼	十推 ut
㔽	卜回 bh
㔾	. aa
㔿	一丩 aj
㕀	. ey
㕁	㐅卩 ie｜卩厶 es
㕂	厂今 ij
㕃	. ij
㕄	. ih
㕅	厂甲 ij
㕆	厂古 ig
㕇	厂立 il
㕈	厂衣 iy
㕉	厂合 ih
㕊	厂甫 if
㕋	厂金 ij
㕌	. id
㕍	厂隹 iv
㕎	. ig
㕏	厂斗 id
㕐	厂舄 ix
㕑	. iu
㕒	厂義 iy
㕓	厂墨 im
㕔	厂聽 it
㕕	厶厶 ss
㕖	. lm
㕗	厶羑 sy
㕘	厶小 sx
㕙	. tw
㕚	. id
㕛	又又 yy
㕜	又中 yv
㕝	古又 gy
㕞	. yb
㕟	卜又 by｜又艹 yc
㕠	又准 yv
㕡	. yj
㕢	卜又 by｜又貝 yb
㕣	口八 kb
㕤	口九 kj
㕥	口人 kr
㕦	口大 kd
㕧	口尸 ku
㕨	口凡 kf
㕩	口丰 kf
㕪	. ka｜. ky
㕫	口方 kf
㕬	口公 kg
㕭	口夭 ky
㕮	口父 kf
㕯	口内 kn
㕰	口毛 km
㕱	口尤 ky
㕲	口木 km
㕳	口凶 kx
㕴	口冗 kr
㕵	口王 kw
㕶	口五 kw
㕷	口白 kb
㕸	口立 kl
㕹	. kb
㕺	. lk
㕻	丶否 df
㕼	口匈 kx
㕽	口以 ky
㕿	禾口 hk
㖀	口聿 ky
㖁	口厶 ks
㖂	口曳 ky
㖃	口后 kh
㖄	口州 kv
㖅	口戌 kx
㖆	口曲 kq
㖇	口而 ke
㖈	口老 kl｜老口 lk
㖉	口企 kq
㖊	口寻 kx
㖏	. kn｜口土 kt
㖐	. ly
㖑	口戒 kj
㖒	口弟 kd
㖓	口丰 kf
㖔	口吞 kt
㖕	口辛 kx
㖖	口辛 kx
㖗	口岑 kc
㖘	口辰 ki
㖞	口呙 kg
㖟	口受 ku
㖠	口奈 kn
㖡	口夜 ky
㖢	口此 kc
㖣	. kp
㖤	口函 kh
㖥	. kj
㖦	口東 kd
㖧	口昏 kh
㖨	口录 kl
㖩	口取 kq
㖪	口或 kh
㖫	. kl
㖬	口又 ky
㖭	口忝 kt
㖮	口侖 kl
㖴	口芴 kw
㖵	口具 kj
㖶	. ky
㖷	口是 ku
㖸	口虐 kn
㖹	口盆 kp
㖺	口春 ki
㖻	口柔 kr
㖼	口某 km
㖽	口頁 ky
㖾	. ln
㖿	口耶 ky
㗀	口幽 ky
㗁	. ke
㗂	口省 ku
㗃	. kh
㗄	口方 kf
㗅	口胡 kh
㗆	口革 kg
㗇	口叚 kj
㗈	口勇 ky
㗉	. qg
㗊	吕吕 ll
㗋	. kh
㗌	口室 ku
㗍	口香 kx
㗎	口架 kj
㗏	口歪 kw
㗐	口皿 km
㗑	口拜 kb
㗒	口哀 ka
㗓	口追 kv
㗔	口虔 kq
㗕	. kg
㗖	口舀 ky
㗗	. bb｜另卑 lb
㗘	. kf
