呵	口可:kk
嗄	口夏:kx
錒	金阿:ja
𠼞	合亞:hy
𥥩	穴向:xx
𨉚	身奄:uy
愛	爫夊:vw｜心夊:xw
捱	扌厓:fy
礙	石疑:uy
娭	女矣:ny
薆	艹愛:ca
靉	雲愛:ya
曖	日愛:oa
欬	欠亥:qh
餲	食曷:uh
噯	口愛:ka
敳	.:wd｜攵豈:wq
懓	心愛:xa
硙	石岂:uq｜.:uy
僾	亻愛:ra
藹	艹曷:ch｜艹謁:cy
溰	.:dd｜氵豈:dq
焥	火宛:hw
嬡	女愛:na
懝	忄疑:xy
瞹	目愛:oa
諰	言思:ys
隑	.:ed｜耳豈:eq
靄	雨曷:yh｜雨謁:yy
凒	.:dd｜冫豈:dq
啀	口厓:ky
娾	.:ny
昹	日永:oy
溾	氵鬼:dg
濭	氵蓋:dg｜.:dm
硋	石亥:uh
磑	.:ud｜石豈:uq
銰	金艾:ja
鎄	金哀:ja
鑀	金愛:ja
㑸	亻可:rk
㕌	.:id
㗒	口哀:ka
㗨	.:ky
㘷	土艾:ta
㝶	.:cs
㢊	.:gq
㤅	心{无}:xw
㱯	歹豈:dq
㿄	.:by
䀳	目束:ou
䅬	禾益:hy
䑂	月與:oy
䔽	艹渴:ck
䝽	.:by
䨠	雨曷:yh
䬵	食亥:uh
䶣	齒豈:iq
伌	亻厄:re
嘊	口崖:ky
堨	土曷:th
塧	土益:ty
壒	土蓋:tg｜.:tm
嵦	.:ud｜山豈:uq
敱	.:pd｜.:ud｜.:uq｜.:uy
璦	王愛:wa
皚	白豆:bd｜白豈:bq
皧	白愛:ba
絠	糸有:sy
譪	言葛:yg
譺	言疑:yy
賹	貝益:by
躷	身委:uw
馤	香曷:xh
鱫	魚愛:ya
鴱	鳥艾:na
𠊎	.:ry｜亻圭:rg
𠳳	口呆:kd
𡁍	嗐欠:hq
𡉓	土女:tn
𡟓	女哀:na
𡰽	尸尤:uy
𡶃	山乙:uy
𢟪	心既:xj｜既心:jx
𢟰	.:xy｜心豕:xu
𢣏	心蓋:xg
𢣕	心疑:xy｜疑心:yx
𢰇	.:fs
𣋞	日蓋:og
𣜬	木愛:ma
𣝅	木疑:my
𣤃	匕乃:bn｜欠乃:qn
𣩄	.:dg
𣩱	歹蓋:dg
𤢵	犭厲:ql
𤸖	疒哀:ba
𤸳	疒豈:bq
𤻢	疒又:by
𥡽	禾夂:hw
𥤦	穴又:xy
𥴨	𥫗愛:va
𦗍	耳旁:ep
𦗐	.:ey｜耳豕:eu
𦤦	臭曷:ih
𦥂	.:vg｜土至:tv｜至冂:vk
𦥈	䒑至:qv｜至冖:vb
𦩴	舟豈:vq
𧏹	.:iy｜虫豕:iu
𧓁	虫愛:ia
𧡋	.:jy｜厂見:ij｜見圭:jg
𧪚	言豈:yq
𧰿	豕艾:ua
𧵨	貝安:ba
𨶂	門益:my
𩂒	雨巳:ys
𩂢	.:yv
𩈋	面介:mj
𩪂	骨豈:gq
𩫇	不高:bg
𩮖	髟豈:iq
𪇈	鳥愛:na｜愛鳥:an
𪕭	鼠曷:uh
广	丶丿:dp
厂	一丿:ap
鮟	魚安:ya
闇	門音:my
厈	厂干:ig
菴	艹电:cd｜艹奄:cy
晻	日电:od｜日奄:oy
咹	口安:ka
鞌	.:bg｜革安:ga
荌	艹安:ca
銨	金安:ja
啽	口廾:kc｜口弇:ky
痷	疒电:bd｜疒奄:by
韽	音酉:yy
萻	艹音:cy
儑	亻絲:rs
媕	.:nc｜女弇:ny
峖	山安:ua
堓	土岸:ta
洝	氵安:da
盫	合皿:hm｜皿酉:my
腤	月音:oy
錌	金岸:ja
隌	耳音:ey
㜝	女酉:ny
㟁	.:ua
㱘	止厭:vy
㸩	牛干:ng
㽢	田奄:ty
䁆	目奄:oy
䅁	禾安:ha
䅖	禾奄:hy
䎏	羽含:yh
䎨	耒奄:ly
䜙	言㬎:yx
䨄	隹酉:vy
䬓	風音:fy
䮗	馬岸:ma
䯥	骨㬎:gx
侒	亻安:ra
偣	亻音:ry
屵	山厂:ui
屽	山干:ug
揞	扌音:fy
玵	王甘:wg
罯	罒音:sy
葊	艹廾:cc｜艹弇:cy
蓭	艹庵:ca
裺	衤电:yd｜衤奄:yy
誝	言含:yh
諳	言音:yy
豻	豸干:vg
貋	豸旱:vh
雸	雨甘:yg
馣	.:xd｜香奄:xy
鵪	鳥电:nd｜鳥奄:ny
鶕	鳥音:ny
𠉬	亻厂:ri
𠪚	厂敢:ig
𠰑	.:ka｜口干:kg
𠽪	.:ka｜口音:ky
𠿑	口感:kg
𡎑	土彦:ty
𡪁	宀含:bh
𡪙	安明:am
𡯏	.:wd｜尤斗:yd
𡹼	.:ey｜山言:uy
𡽜	.:ly｜山言:uy
𢰍	扌火:fh
𣆛	日覀:ox｜覀日:xo
𣚖	.:ma｜木奄:my
𣣚	欠奄:qy｜奄欠:yq
𣵱	.:dk｜氵壬:dr
𣽥	.:dg｜氵頇:dh
𤃷	.:da｜氵音:dy
𤜁	牟感:mg
𤞿	犬犴:qa
𤟉	犭岸:qa
𥏮	矢音:uy
𥦍	.:xg｜穴廾:xc
𥳬	竹黑:vh
𦺽	.:ca｜艹奄:cy
𧖮	血日:xo
𧩸	言弇:yy
𧫥	言庵:ya
𧫧	言酉:yy
𧮍	.:ya｜言音:yy
𨲊	镸岸:ia
𩅝	雲奄:yy
𩈴	面音:my
𩓤	頁岸:ya｜岸頁:ay
𩭢	髟岸:ia
𩹎	魚音:yy
𪁟	鳥含:nh｜含鳥:hn
𪒠	黑敢:hg
𪘒	齒含:ih
仰	亻卩:re｜亻卬:ry
骯	骨亢:gk
枊	木卩:me
昻	日卩:oe｜日卭:oq
㦹	.:gy
㭿	木昂:ma
㼜	瓦央:wy
䀚	目卬:oa
䍩	羊攵:yw
䒢	艹卬:ca
䩕	革卬:ga
䭹	馬卬:ma
䭺	馬亢:mk
岇	.:ue｜.:uy
醠	酉盎:ya
𠵫	口昂:ka
𠹃	口盎:ka
𡕉	吉口:jk
𡵙	山卬:ua
𢓋	彳卬:xa
𣉗	日盎:oa
𣖮	木盎:ma
𤭒	良瓦:lw｜丶瓦:dw
𦫫	色翁:sw｜翁色:ws
𨋕	車卬:ia
𩉰	.:gz｜革巾:gj
𩑝	頁卬:ya｜卬頁:ay
𩔘	勇頁:yy
𩜟	飠昂:ua
艹	丨一:aa｜{艹}:ck
奧	大釆:db｜丿大:pd
嚣	口口:kk｜页口:yk
獓	犭敖:qa｜.:qw
爊	火麃:hb｜火灬:hh
垇	土凹:ta
鼇	黽敖:ma｜黽攵:mw
隞	耳敖:ea｜.:ew
墺	土奥:ta
泑	氵幼:dy
熝	火鹿:hl
滶	氵敖:da｜氵攵:dw
芺	艹夭:cy
抝	扌幻:fh
襖	衤奥:ya
鏕	金鹿:jl
厫	厂敖:ia｜.:iw
慠	忄敖:xa｜.:xw
翺	.:yg｜.:yu
謷	言敖:ya｜言攵:yw
軪	車幼:iy
扷	扌夭:fy
澚	氵粤:dy
鰲	魚敖:ya｜魚攵:yw
㑃	亻幼:ry
㕭	口夭:ky
㘬	土勾:tg
㘭	土幻:th
㜜	女敖:na
㜩	女奥:na
㟼	山敖:ua
㠂	山敖:ua
㠗	山奥:ua
㤇	心夭:xy
㥿	心敖:xa
㿰	皮交:pj
䐿	月奥:oa
䚫	角敫:jj
䜒	言奥:ya
䞝	走玉:zy
䥝	金麀:jy
䦋	镸敖:ia
䫨	頁敖:ya
䮯	馬敖:ma
䯠	.:gw
䴈	鳥奥:na
䵅	麥敖:ma
嗸	口敖:ka｜.:kw
墽	土敫:tj｜.:tw
媼	女皿:nm｜女昷:nw
嫯	女敖:na｜.:nw
岰	山幼:uy
嶴	山奥:ua
摮	手敖:ua｜.:uw
擙	扌奥:fa
柪	木幼:my
梎	木匕:mb
眑	目幼:oy
磝	石敖:ua｜石攵:uw
翶	.:yg｜.:yu
蔜	艹敖:ca｜艹攵:cw
謸	言敖:ya｜言攵:yw
郩	耳肴:ey
镺	镸夭:iy
驁	馬敖:ma｜馬攵:mw
鷔	鳥敖:na｜.:nw
𡊛	土去:tq
𡏼	土敖:ta
𡒃	奥土:at
𢁱	巾夭:jy
𢕟	彳敖:xa
𢧴	戈敖:ga｜敖戈:ag
𢲷	扌交:fj
𢳆	扌敖:fa
𣊁	日敖:oa｜敖日:ao
𣷫	氵放:df
𤇯	亠丿:wp
𤏶	火麀:hy
𤺾	疒奥:ba
𥂢	敖皿:am
𥑑	石幼:uy
𥜌	示奥:ua
𦪈	舟敖:va
𦽀	.:ca｜艹頁:cy
𧅃	.:ca｜艹灬:ch
𧨲	尚言:uy｜言尚:yu
𨱧	镸幼:iy
𩈏	面幼:my
𩑍	頁乚:yg
𩑤	頁午:yw｜午頁:wy
𩕀	敖頁:ay｜頁敖:ya
𩘮	風敖:fa｜敖風:af
𩟇	飠奥:ua
𩣻	.:ma｜艹馬:cm｜馬夭:my
𩥊	馬高:mg
𩮯	髟敖:ia
𩱏	鬲敖:ga
𩼈	魚奥:ya
𪁾	.:na｜艹鳥:cn｜鳥夭:ny
𪃨	幽鳥:yn
伯	亻白:rb
抜	扌友:fy
覇	覀月:xo
峇	山合:uh
罷	罒能:sn
犮	一丶:ad｜友丶:yd
丷	{丷}:ba｜{丷}:dm｜丶丿:dp
鈀	金巴:jb
哱	口孛:kb｜口子:kz
茇	艹犮:cb｜艹又:cy
軷	.:ib
癹	癶殳:du
仈	亻八:rb
弝	弓巴:gb
豝	豕巴:ub
鲌	鱼白:yb
壩	土霸:tb
颰	.:fb
炦	.:hb
皅	白巴:bb
垻	土貝:tb
柭	木犮:mb
釟	金八:jb
㔜	力孚:lf
㖠	口奈:kn
㞎	尸巴:ub
㧊	.:fu
㶚	.:db
䃻	石霸:ub
䆉	禾罷:hb
䇑	立卑:lb
䎬	耒罢:lb
䎱	耒罷:lb
䟦	足友:zy
䥯	金罷:jb
䩗	革月:go
䩻	革馬:gm
䰾	魚巴:yb
䱝	魚卑:yb
䳁	.:nb
䳊	.:nb
叐	丿友:py
哵	口别:kb
夿	大巴:db
欛	木霸:mb
玐	王八:wb
矲	矢罷:ub｜.:un
詙	言犮:yb
跁	足巴:zb
魞	魚入:yr
鮁	魚犮:yb
鮊	魚白:yb
鼥	.:ub
𠐌	亻罷:rb
𠛋	.:db
𠵺	口巴:kb
𡚭	女八:nb
𢃳	帚巴:vb
𢇷	.:gb｜广丶:gd
𢠭	忄寂:xj
𢺞	扌霸:fb
𢻷	.:wb｜攴巴:pb｜巴攴:bp
𣬶	毛巴:mb
𣬷	巴毛:bm
𤜕	土相:tx｜牛相:nx
𤜱	犭巴:qb
𤣸	王丈:wv
𤤒	.:wb｜王丶:wd
𥎱	.:ub｜矢丶:ud
𥐙	石八:ub
𥝧	禾巴:hb
𥥛	.:xb｜穴丶:xd
𦓧	耒八:lb
𦫙	.:sb｜白色:bs
𦳺	艹丶:cd
𧎱	.:bk｜巴虫:bi｜虫虫:ii
𧲧	豸巴:vb
𧺡	.:zu
