0	0 0⃣️
1	1 1⃣️
2	2 2⃣️
3	3 3⃣️
4	4 4⃣️
5	5 5⃣️
6	6 6⃣️
7	7 7⃣️
8	8 8⃣️
9	9 9⃣️
OK	OK 🆗 👌
ok	ok 🆗 👌
一	一 1⃣️
一个	一个 ☝️
一個	一個 ☝️
一家三口	一家三口 👩‍👩‍👧 👩‍👩‍👦 👨‍👨‍👧 👨‍👨‍👦 👨‍👩‍👧 👨‍👩‍👦
一家四口	一家四口 👩‍👩‍👧‍👧 👩‍👩‍👦‍👦 👩‍👩‍👧‍👦 👨‍👨‍👧‍👧 👨‍👨‍👦‍👦 👨‍👨‍👧‍👦 👨‍👩‍👧‍👧 👨‍👩‍👦‍👦 👨‍👩‍👧‍👦
一点	一点 🕐
一点半	一点半 🕜
一点钟	一点钟 🕐
一百分	一百分 💯
一箭穿心	一箭穿心 💘
一索得男	一索得男 👨‍👩‍👦
一見鍾情	一見鍾情 💘
一见钟情	一见钟情 💘
一點	一點 🕐
一點半	一點半 🕜
一點鐘	一點鐘 🕐
丁丁	丁丁 🚎
七	七 7⃣️
七夕	七夕 🎋
七夕树	七夕树 🎋
七夕樹	七夕樹 🎋
七夕節	七夕節 🎋
七夕节	七夕节 🎋
七点	七点 🕖
七点半	七点半 🕢
七点钟	七点钟 🕖
七點	七點 🕖
七點半	七點半 🕢
七點鐘	七點鐘 🕖
万佛之国	万佛之国 🇹🇭
万圣节	万圣节 🎃
万岛国	万岛国 🇳🇴
三	三 3⃣️
三叉戟	三叉戟 🔱
三点	三点 🕒
三点半	三点半 🕞
三点钟	三点钟 🕒
三角	三角 ◀️ ▶️
三角尺	三角尺 📐
三角旗	三角旗 🚩
三點	三點 🕒
三點半	三點半 🕞
三點鐘	三點鐘 🕒
上	上 ⬆️
上一个	上一个 ◀️
上一個	上一個 ◀️
上下	上下 ↕️
上下箭头	上下箭头 ↕️
上下箭頭	上下箭頭 ↕️
上传	上传 ⏫
上傳	上傳 ⏫
上学	上学 🎒
上學	上學 🎒
上弦月	上弦月 🌛 🌓
上方	上方 🔝
上班	上班 💼
上色	上色 🎨
上衣	上衣 👚 👕
上鎖	上鎖 🔒
上锁	上锁 🔒
上面	上面 👆
下	下 ⬇️
下一个	下一个 ▶️
下一個	下一個 ▶️
下弦月	下弦月 🌜 🌗
下載	下載 ⏬
下载	下载 ⏬
下雨	下雨 ☔️
下雪	下雪 ❄️
下面	下面 👇
不丹	不丹 🇧🇹
不允許	不允許 ❎
不允许	不允许 ❎
不列顛	不列顛 🇬🇧
不列颠	不列颠 🇬🇧
不可	不可 🙅
不听	不听 🙉
不好	不好 🆖 👎
不屑	不屑 😕
不开心	不开心 😠 😞 😔
不得入内	不得入内 🚫
不怀好意	不怀好意 😼
不懷好意	不懷好意 😼
不爽	不爽 😕
不看	不看 🙈
不聽	不聽 🙉
不能說	不能說 🙊
不能说	不能说 🙊
不行	不行 🆖 ✋
不說	不說 🙊
不说	不说 🙊
不開心	不開心 😠 😞 😔
不高兴	不高兴 😠 😒
不高興	不高興 😠 😒
业绩上涨	业绩上涨 📈
业绩下滑	业绩下滑 📉
东帝汶	东帝汶 🇹🇱
丝带	丝带 🎀
两点	两点 🕑
两点半	两点半 🕝
两点钟	两点钟 🕑
两颗心	两颗心 💕
两點半	两點半 🕝
严肃	严肃 😠
个人	个人 👤
中华人民共和国	中华人民共和国 🇨🇳
中华人民共和国国旗	中华人民共和国国旗 🇨🇳
中国	中国 🇨🇳
中国国旗	中国国旗 🇨🇳
中日韓標點	中日韓標點 〽️
中日韩标点	中日韩标点 〽️
中秋	中秋 🎑
中秋節	中秋節 🎑
中秋节	中秋节 🎑
中药	中药 🌿
中華人民共和國	中華人民共和國 🇨🇳
中華人民共和國國旗	中華人民共和國國旗 🇨🇳
中藥	中藥 🌿
中非共和国	中非共和国 🇨🇫
中非共和國	中非共和國 🇨🇫
丸子	丸子 🍡
丹麥	丹麥 🇩🇰
丹麦	丹麦 🇩🇰
举手	举手 🙋
乌云	乌云 ☁️
乌克兰	乌克兰 🇺🇦
乌兹别克斯坦	乌兹别克斯坦 🇺🇿
乌干达	乌干达 🇺🇬
乌拉圭	乌拉圭 🇺🇾
乌龟	乌龟 🐢
乐谱	乐谱 🎼
乘号	乘号 ✖️
乘號	乘號 ✖️
九	九 9⃣️
九点	九点 🕘
九点半	九点半 🕤
九点钟	九点钟 🕘
九點	九點 🕘
九點半	九點半 🕤
九點鐘	九點鐘 🕘
也门	也门 🇾🇪
书包	书包 🎒
书本	书本 📚 📖
书签	书签 📑 🔖 🔖
书签标签	书签标签 📑 📑
书籍	书籍 📚
乳牛	乳牛 🐄
乾杯	乾杯 🍻
二	二 2⃣️
二头肌	二头肌 💪
二頭肌	二頭肌 💪
亏凸月	亏凸月 🌖
亏损	亏损 💸
亏损报表	亏损报表 📉
云	云 ☁️
云霄飞车	云霄飞车 🎢
五	五 5⃣️
五星紅旗	五星紅旗 🇨🇳
五星红旗	五星红旗 🇨🇳
五点	五点 🕔
